Date_Exploitation,VT,Heure_Deb_Course_Theo,Sens,Rame,SV,Rang_Course,Num_Arret,Nom_Arret,Heure_Arret_Theo,Montées,Descentes
2017/07/08,VT103,13:57:00  ,R,1015,3,21,5043,JEAN MEDECIN,13:58:00  ,0,0
2017/07/08,VT103,13:57:00  ,R,1015,3,21,5044,GARE THIERS,14:01:00  ,0,0
2017/07/08,VT103,13:57:00  ,R,1015,3,21,5045,LIBERATION,14:03:00  ,0,0
2017/07/08,VT103,13:57:00  ,R,1015,3,21,5046,BORRIGLIONE,14:04:11  ,0,0
2017/07/08,VT103,13:57:00  ,R,1015,3,21,5047,VALROSE UNIV.,14:05:42  ,0,0
2017/07/08,VT103,13:57:00  ,R,1015,3,21,5048,GORBELLA,14:08:00  ,0,0
2017/07/08,VT103,13:57:00  ,R,1015,3,21,5049,LE RAY,14:10:00  ,0,0
2017/07/08,VT103,13:57:00  ,R,1015,3,21,5050,COMTE DE FALICON,14:11:23  ,0,0
2017/07/08,VT103,13:57:00  ,R,1015,3,21,5051,HENRI SAPPIA,14:13:00  ,0,0
2017/07/08,VT103,14:20:00  ,A,1015,3,22,5011,HENRI SAPPIA,14:20:00  ,0,0
2017/07/08,VT103,14:20:00  ,A,1015,3,22,5012,COMTE DE FALICON,14:21:35  ,0,0
2017/07/08,VT103,14:20:00  ,A,1015,3,22,5013,LE RAY,14:23:00  ,0,0
2017/07/08,VT103,14:20:00  ,A,1015,3,22,5014,GORBELLA,14:26:00  ,0,0
2017/07/08,VT103,14:20:00  ,A,1015,3,22,5015,VALROSE UNIV.,14:28:37  ,0,0
2017/07/08,VT103,14:20:00  ,A,1015,3,22,5016,BORRIGLIONE,14:30:30  ,0,0
2017/07/08,VT103,14:20:00  ,A,1015,3,22,5017,LIBERATION,14:32:00  ,0,0
2017/07/08,VT103,14:20:00  ,A,1015,3,22,5018,GARE THIERS,14:35:00  ,0,0
2017/07/08,VT103,14:20:00  ,A,1015,3,22,5019,JEAN MEDECIN,14:37:00  ,0,0
2017/07/08,VT103,14:20:00  ,A,1015,3,22,5020,MASSENA,14:39:00  ,0,0
2017/07/08,VT103,14:43:00  ,R,1015,3,23,5020,MASSENA,14:43:00  ,0,0
2017/07/08,VT103,14:43:00  ,R,1015,3,23,5043,JEAN MEDECIN,14:44:00  ,0,0
2017/07/08,VT103,14:43:00  ,R,1015,3,23,5044,GARE THIERS,14:47:00  ,0,0
2017/07/08,VT103,14:43:00  ,R,1015,3,23,5045,LIBERATION,14:49:00  ,0,0
2017/07/08,VT103,14:43:00  ,R,1015,3,23,5046,BORRIGLIONE,14:50:11  ,0,0
2017/07/08,VT103,14:43:00  ,R,1015,3,23,5047,VALROSE UNIV.,14:51:42  ,0,0
2017/07/08,VT103,14:43:00  ,R,1015,3,23,5048,GORBELLA,14:54:00  ,0,0
2017/07/08,VT103,14:43:00  ,R,1015,3,23,5049,LE RAY,14:56:00  ,0,0
2017/07/08,VT103,14:43:00  ,R,1015,3,23,5050,COMTE DE FALICON,14:57:23  ,0,0
